Occupation,Emp_2020,Emp_2030,Emp_Change,Emp_Change_P,Job_Openings_Yearly,Wage,Educ_Level
New accounts clerks,46.1,38.4,-7.7,-16.7,3.2,37750,High school diploma or equivalent
"News analysts, reporters, and journalists",46.7,49.5,2.8,6.0,5.4,49300,Bachelor's degree
Nuclear engineers,17.2,15.8,-1.5,-8.4,0.9,116140,Bachelor's degree
Nuclear medicine technologists,18.3,19.7,1.4,7.8,1.5,79590,Associate's degree
Nuclear power reactor operators,5.3,3.6,-1.8,-32.9,0.2,104040,High school diploma or equivalent
Nuclear technicians,6.6,5.8,-0.8,-12.4,0.7,84190,Associate's degree
Nurse anesthetists,44.2,49.8,5.6,12.6,2.9,183580,Master's degree
Nurse midwives,7.3,8.2,0.8,11.3,0.5,111130,Master's degree
Nurse practitioners,220.3,335.2,114.9,52.2,26.0,111680,Master's degree
Nursing assistants,1396.7,1512.0,115.3,8.3,187.0,30850,Postsecondary nondegree award
"Nursing instructors and teachers, postsecondary",72.6,88.9,16.3,22.4,9.0,75470,Doctoral or professional degree
Obstetricians and gynecologists,20.7,20.3,-0.4,-2.1,0.5,208000,Doctoral or professional degree
Occupational health and safety specialists,98.0,104.8,6.8,7.0,7.8,76340,Bachelor's degree
Occupational health and safety technicians,21.3,23.2,1.9,9.0,1.8,53340,High school diploma or equivalent
Occupational therapists,131.6,154.6,23.0,17.5,10.1,86280,Master's degree
Occupational therapy aides,5.8,7.0,1.2,21.4,0.9,30180,High school diploma or equivalent
Occupational therapy assistants,43.3,58.9,15.6,36.1,7.8,62940,Associate's degree
"Office and administrative support workers, all other",201.9,215.3,13.4,6.6,24.4,35890,High school diploma or equivalent
"Office clerks, general",2933.9,2873.6,-60.4,-2.1,324.6,35330,High school diploma or equivalent
"Office machine operators, except computer",41.7,36.1,-5.6,-13.5,3.8,34730,High school diploma or equivalent
Operating engineers and other construction equipment operators,408.5,430.7,22.2,5.4,46.0,49770,High school diploma or equivalent
Operations research analysts,104.1,129.7,25.6,24.6,10.2,86200,Bachelor's degree
Ophthalmic laboratory technicians,27.5,30.6,3.1,11.2,4.0,34440,High school diploma or equivalent
Ophthalmic medical technicians,60.9,69.6,8.7,14.3,5.5,37940,Postsecondary nondegree award
"Opticians, dispensing",69.8,74.2,4.3,6.2,5.9,38530,High school diploma or equivalent
Optometrists,43.3,47.2,3.9,9.0,1.7,118050,Doctoral or professional degree
Oral and maxillofacial surgeons,5.2,5.6,0.4,7.7,0.2,208000,Doctoral or professional degree
Order clerks,133.9,109.5,-24.4,-18.2,10.4,35590,"Some college, no degree"
Orderlies,44.0,47.2,3.2,7.2,5.8,30030,High school diploma or equivalent
Orthodontists,6.4,6.9,0.5,8.1,0.2,208000,Doctoral or professional degree
Orthotists and prosthetists,10.1,12.0,1.9,18.4,1.0,70190,Master's degree
Outdoor power equipment and other small engine mechanics,33.3,35.5,2.2,6.7,4.0,37530,High school diploma or equivalent
Packaging and filling machine operators and tenders,371.8,392.0,20.2,5.4,43.1,32640,High school diploma or equivalent
"Packers and packagers, hand",599.7,600.6,1.0,0.2,82.9,28050,No formal educational credential
"Painters, construction and maintenance",350.8,369.1,18.3,5.2,32.7,42130,No formal educational credential
"Painting, coating, and decorating workers",12.4,13.2,0.8,6.3,1.3,34780,No formal educational credential
"Paper goods machine setters, operators, and tenders",102.3,94.9,-7.4,-7.3,10.2,39820,High school diploma or equivalent
Paperhangers,4.6,4.9,0.3,6.4,0.4,43560,No formal educational credential
Paralegals and legal assistants,345.6,387.0,41.4,12.0,43.0,52920,Associate's degree
Parking attendants,123.8,141.3,17.5,14.2,21.9,27080,No formal educational credential
Parking enforcement workers,7.9,5.1,-2.8,-35.0,0.4,42070,High school diploma or equivalent
Parts salespersons,257.8,270.4,12.6,4.9,32.6,32460,No formal educational credential
Passenger attendants,23.2,27.2,4.1,17.5,4.0,28770,High school diploma or equivalent
"Passenger vehicle drivers, except bus drivers",707.4,887.9,180.6,25.5,110.2,32320,No formal educational credential
"Patternmakers, metal and plastic",2.4,2.3,-0.1,-3.2,0.2,48160,High school diploma or equivalent
"Patternmakers, wood",0.2,0.3,0.1,24.7,0.0,65120,High school diploma or equivalent
"Paving, surfacing, and tamping equipment operators",44.8,47.4,2.5,5.6,5.1,41540,High school diploma or equivalent
Payroll and timekeeping clerks,137.3,119.7,-17.7,-12.9,11.4,47020,High school diploma or equivalent
"Pediatricians, general",30.2,29.6,-0.5,-1.8,0.8,177130,Doctoral or professional degree
Personal financial advisors,275.2,287.8,12.6,4.6,21.5,89330,Bachelor's degree
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",573.0,615.3,42.2,7.4,47.1,116350,Bachelor's degree
Pest control workers,86.8,95.0,8.2,9.5,12.8,37820,High school diploma or equivalent
"Pesticide handlers, sprayers, and applicators, vegetation",27.3,29.6,2.3,8.3,3.9,36630,High school diploma or equivalent
Petroleum engineers,28.5,30.7,2.2,7.6,2.1,137330,Bachelor's degree
"Petroleum pump system operators, refinery operators, and gaugers",40.6,42.8,2.3,5.6,4.4,78840,High school diploma or equivalent
Pharmacists,322.2,315.3,-7.0,-2.2,11.3,128710,Doctoral or professional degree
Pharmacy aides,38.9,33.2,-5.7,-14.7,4.1,29280,High school diploma or equivalent
Pharmacy technicians,419.3,435.9,16.6,4.0,31.7,35100,High school diploma or equivalent
"Philosophy and religion teachers, postsecondary",29.0,32.2,3.2,11.0,3.1,76160,Doctoral or professional degree
Phlebotomists,129.6,158.4,28.8,22.2,19.5,36320,Postsecondary nondegree award
Photographers,110.5,129.4,18.9,17.1,12.7,41280,High school diploma or equivalent
Photographic process workers and processing machine operators,9.3,8.5,-0.8,-8.7,1.3,34720,High school diploma or equivalent
"Physical scientists, all other",23.9,24.2,0.2,1.0,1.8,107210,Bachelor's degree
Physical therapist aides,46.7,58.5,11.8,25.3,7.4,28450,High school diploma or equivalent
Physical therapist assistants,93.8,126.9,33.2,35.4,16.4,59770,Associate's degree
Physical therapists,239.2,288.3,49.1,20.5,15.6,91010,Doctoral or professional degree
Physician assistants,129.4,169.5,40.1,31.0,12.2,115390,Master's degree
"Physicians, all other; and ophthalmologists, except pediatric",412.1,430.8,18.7,4.5,13.4,208000,Doctoral or professional degree
Physicists,17.4,18.9,1.5,8.8,1.3,129850,Doctoral or professional degree
"Physics teachers, postsecondary",16.5,17.8,1.3,8.1,1.7,90400,Doctoral or professional degree
Pile driver operators,3.9,4.1,0.2,4.8,0.4,63370,High school diploma or equivalent
Pipelayers,35.1,34.5,-0.5,-1.5,3.5,40480,No formal educational credential
"Plant and system operators, all other",14.9,15.4,0.5,3.1,1.6,58960,High school diploma or equivalent
Plasterers and stucco masons,26.1,27.8,1.8,6.8,2.4,47020,No formal educational credential
"Plating machine setters, operators, and tenders, metal and plastic",39.3,38.2,-1.1,-2.7,3.8,34850,High school diploma or equivalent
"Plumbers, pipefitters, and steamfitters",469.9,493.2,23.4,5.0,51.0,56330,High school diploma or equivalent
Podiatrists,12.1,12.3,0.2,1.8,0.9,134300,Doctoral or professional degree
Police and sheriff's patrol officers,671.2,719.8,48.6,7.2,57.6,65540,High school diploma or equivalent
"Political science teachers, postsecondary",18.4,20.0,1.6,8.7,1.9,85760,Doctoral or professional degree
Political scientists,7.0,7.6,0.6,8.6,0.7,125350,Master's degree
Postal service clerks,82.8,76.4,-6.4,-7.8,5.8,50150,High school diploma or equivalent
Postal service mail carriers,317.7,293.1,-24.7,-7.8,19.1,51080,High school diploma or equivalent
"Postal service mail sorters, processors, and processing machine operators",100.4,88.2,-12.2,-12.2,7.0,53140,High school diploma or equivalent
Postmasters and mail superintendents,13.2,12.2,-1.0,-7.7,0.8,78060,High school diploma or equivalent
"Postsecondary teachers, all other",230.3,243.9,13.6,5.9,23.0,71950,Doctoral or professional degree
"Pourers and casters, metal",7.1,6.7,-0.4,-5.1,0.6,40170,High school diploma or equivalent
Power distributors and dispatchers,10.0,9.3,-0.7,-7.3,0.8,95100,High school diploma or equivalent
Power plant operators,33.6,29.0,-4.6,-13.6,2.5,84650,High school diploma or equivalent
"Precision instrument and equipment repairers, all other",11.4,12.0,0.6,5.6,1.3,61420,High school diploma or equivalent
Prepress technicians and workers,28.2,23.3,-4.8,-17.1,3.0,41410,Postsecondary nondegree award
"Preschool teachers, except special education",469.6,556.0,86.4,18.4,59.6,31930,Associate's degree
"Pressers, textile, garment, and related materials",30.3,27.0,-3.3,-10.8,2.6,25580,No formal educational credential
Print binding and finishing workers,41.6,34.4,-7.3,-17.5,3.5,34260,High school diploma or equivalent
Printing press operators,160.9,144.9,-15.9,-9.9,14.7,37880,High school diploma or equivalent
Private detectives and investigators,33.7,38.1,4.4,13.2,3.5,53320,High school diploma or equivalent
Probation officers and correctional treatment specialists,92.7,96.2,3.5,3.8,8.1,55690,Bachelor's degree
Procurement clerks,63.0,59.8,-3.2,-5.1,5.2,44740,High school diploma or equivalent
Producers and directors,131.0,162.5,31.6,24.1,15.6,76400,Bachelor's degree
"Production workers, all other",203.6,220.3,16.7,8.2,24.6,31420,High school diploma or equivalent
"Production, planning, and expediting clerks",365.7,393.6,27.9,7.6,41.0,49640,High school diploma or equivalent
"Project management specialists and business operations specialists, all other",1777.3,1876.5,99.2,5.6,141.9,77420,Bachelor's degree
Proofreaders and copy markers,7.9,8.3,0.4,5.3,1.1,41140,Bachelor's degree
Property appraisers and assessors,78.7,82.1,3.4,4.4,6.3,58650,Bachelor's degree
"Property, real estate, and community association managers",364.1,375.5,11.4,3.1,29.1,59660,High school diploma or equivalent
Prosthodontists,0.7,0.7,0.1,8.5,0.0,208000,Doctoral or professional degree
Psychiatric aides,54.1,58.1,4.0,7.4,7.2,31570,High school diploma or equivalent
Psychiatric technicians,91.6,103.3,11.7,12.8,8.0,35030,Postsecondary nondegree award
Psychiatrists,28.1,31.6,3.5,12.5,1.2,208000,Doctoral or professional degree
"Psychologists, all other",55.2,56.3,1.1,2.0,3.7,105780,Master's degree
"Psychology teachers, postsecondary",44.1,48.6,4.5,10.3,4.7,78180,Doctoral or professional degree
Public relations and fundraising managers,89.0,100.3,11.3,12.6,8.9,118430,Bachelor's degree
Public relations specialists,272.3,303.4,31.2,11.4,29.2,62810,Bachelor's degree
Public safety telecommunicators,95.4,103.2,7.8,8.2,9.8,43290,High school diploma or equivalent
"Pump operators, except wellhead pumpers",11.1,12.5,1.4,12.6,1.4,48090,High school diploma or equivalent
Purchasing managers,74.4,79.0,4.6,6.1,6.3,125940,Bachelor's degree
Radiation therapists,17.7,19.3,1.6,9.1,1.1,86850,Associate's degree
"Radio, cellular, and tower equipment installers and repairers",13.5,14.1,0.5,3.9,1.6,57720,Associate's degree
Radiologic technologists and technicians,212.1,230.3,18.3,8.6,17.4,61900,Associate's degree
Rail car repairers,21.1,22.2,1.1,5.2,2.2,57710,High school diploma or equivalent
"Rail transportation workers, all other",1.7,1.7,0.0,0.0,0.2,47970,High school diploma or equivalent
"Rail yard engineers, dinkey operators, and hostlers",4.2,4.3,0.0,0.0,0.4,51720,High school diploma or equivalent
Rail-track laying and maintenance equipment operators,15.7,16.5,0.8,5.3,1.5,56370,High school diploma or equivalent
"Railroad brake, signal, and switch operators and locomotive firers",11.0,11.3,0.2,2.0,1.0,57870,High school diploma or equivalent
Railroad conductors and yardmasters,32.9,34.7,1.8,5.5,3.1,64030,High school diploma or equivalent
Real estate brokers,109.9,114.8,4.9,4.5,10.1,60370,High school diploma or equivalent
Real estate sales agents,408.9,425.8,16.9,4.1,37.4,49040,High school diploma or equivalent
Receptionists and information clerks,1016.2,1060.0,43.8,4.3,134.0,31110,High school diploma or equivalent
"Recreation and fitness studies teachers, postsecondary",17.0,18.2,1.2,6.8,1.7,66290,Doctoral or professional degree
Recreation workers,354.1,411.9,57.8,16.3,64.6,28440,High school diploma or equivalent
Recreational therapists,20.8,23.0,2.2,10.4,1.9,47710,Bachelor's degree
Recreational vehicle service technicians,15.4,18.1,2.7,17.2,2.2,40520,High school diploma or equivalent
"Refractory materials repairers, except brickmasons",0.8,0.6,-0.1,-14.5,0.0,54610,High school diploma or equivalent
Refuse and recyclable material collectors,140.5,157.2,16.7,11.9,21.4,39100,No formal educational credential
Registered nurses,3080.1,3356.8,276.8,9.0,194.5,75330,Bachelor's degree
Rehabilitation counselors,104.5,115.4,10.8,10.4,11.2,37530,Master's degree
Reinforcing iron and rebar workers,22.1,23.2,1.2,5.3,2.2,49390,High school diploma or equivalent
"Religious workers, all other",66.3,67.6,1.3,2.0,8.8,33530,Bachelor's degree
Reservation and transportation ticket agents and travel clerks,101.6,114.7,13.1,12.9,13.1,39430,High school diploma or equivalent
Residential advisors,108.2,121.6,13.4,12.4,17.5,31190,High school diploma or equivalent
Respiratory therapists,135.1,166.2,31.1,23.0,10.1,62810,Associate's degree
Retail salespersons,3835.0,3795.7,-39.3,-1.0,524.5,27080,No formal educational credential
Riggers,21.3,23.9,2.6,12.1,2.5,50850,High school diploma or equivalent
"Rock splitters, quarry",4.6,4.9,0.3,6.0,0.6,37130,No formal educational credential
"Rolling machine setters, operators, and tenders, metal and plastic",34.5,32.4,-2.1,-6.1,3.0,43600,High school diploma or equivalent
"Roof bolters, mining",2.1,1.9,-0.1,-6.9,0.2,61190,High school diploma or equivalent
Roofers,153.7,160.8,7.1,4.6,15.6,43580,No formal educational credential
"Rotary drill operators, oil and gas",15.2,19.2,4.0,26.4,2.4,53820,No formal educational credential
"Roustabouts, oil and gas",43.5,56.4,12.9,29.5,7.2,39420,No formal educational credential
Sailors and marine oilers,26.4,29.2,2.7,10.4,3.5,44920,No formal educational credential
"Sales and related workers, all other",172.6,175.5,2.9,1.7,22.5,30550,High school diploma or equivalent
Sales engineers,63.8,68.8,5.0,7.9,7.3,108830,Bachelor's degree
Sales managers,397.9,425.8,27.9,7.0,37.0,132290,Bachelor's degree
"Sales representatives of services, except advertising, insurance, financial services, and travel",985.2,1082.1,97.0,9.8,126.5,58770,High school diploma or equivalent
"Sales representatives, wholesale and manufacturing, except technical and scientific products",1327.5,1386.8,59.4,4.5,137.8,62070,High school diploma or equivalent
"Sales representatives, wholesale and manufacturing, technical and scientific products",298.2,316.5,18.2,6.1,31.7,86650,Bachelor's degree
"Sawing machine setters, operators, and tenders, wood",50.5,53.9,3.4,6.7,6.2,31560,High school diploma or equivalent
"School bus monitors and protective service workers, all other",141.6,157.4,15.8,11.2,38.8,31960,High school diploma or equivalent
"Secondary school teachers, except special and career/technical education",998.8,1077.0,78.2,7.8,77.4,62870,Bachelor's degree
Secretaries and administrative assistants,2053.5,1896.7,-156.9,-7.6,195.1,38850,High school diploma or equivalent
"Securities, commodities, and financial services sales agents",466.3,485.8,19.5,4.2,42.5,64770,Bachelor's degree
Security and fire alarm systems installers,73.4,85.5,12.1,16.4,9.2,50940,High school diploma or equivalent
Security guards,1059.0,1213.2,154.2,14.6,163.6,31050,High school diploma or equivalent
Self-enrichment teachers,336.7,415.9,79.2,23.5,50.5,39960,High school diploma or equivalent
Semiconductor processing technicians,33.2,32.6,-0.6,-1.7,3.5,40500,High school diploma or equivalent
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",49.6,52.1,2.5,5.0,5.3,43100,High school diploma or equivalent
Septic tank servicers and sewer pipe cleaners,30.4,34.8,4.4,14.3,4.2,41120,High school diploma or equivalent
"Service unit operators, oil and gas",43.1,52.9,9.8,22.9,6.6,47380,No formal educational credential
Set and exhibit designers,29.7,32.4,2.7,9.1,3.1,58180,Bachelor's degree
"Sewers, hand",6.9,6.2,-0.7,-9.5,0.8,30000,No formal educational credential
Sewing machine operators,133.5,114.8,-18.6,-14.0,12.2,28230,No formal educational credential
Shampooers,10.8,14.1,3.2,29.8,1.6,24190,No formal educational credential
Sheet metal workers,135.4,140.2,4.8,3.6,13.1,51370,High school diploma or equivalent
Ship engineers,7.8,8.4,0.6,8.2,1.0,75990,Postsecondary nondegree award
"Shipping, receiving, and inventory clerks",734.9,694.3,-40.6,-5.5,64.0,35260,High school diploma or equivalent
Shoe and leather workers and repairers,8.7,7.5,-1.2,-14.0,0.8,30550,High school diploma or equivalent
Shoe machine operators and tenders,5.0,3.9,-1.1,-21.6,0.4,30630,High school diploma or equivalent
Signal and track switch repairers,6.6,7.0,0.4,5.6,0.7,76210,High school diploma or equivalent
Skincare specialists,68.7,88.4,19.8,28.8,10.1,36510,Postsecondary nondegree award
Slaughterers and meat packers,79.7,83.1,3.4,4.3,9.7,30710,No formal educational credential
Social and community service managers,174.2,200.7,26.4,15.2,18.3,69600,Bachelor's degree
Social and human service assistants,417.6,487.1,69.5,16.6,59.1,35960,High school diploma or equivalent
Social science research assistants,40.4,43.8,3.4,8.4,5.4,49210,Bachelor's degree
"Social sciences teachers, postsecondary, all other",19.5,20.3,0.8,4.3,1.9,69340,Doctoral or professional degree
"Social scientists and related workers, all other",39.9,41.1,1.2,2.9,3.7,87260,Bachelor's degree
"Social work teachers, postsecondary",16.6,18.1,1.5,8.9,1.7,71570,Doctoral or professional degree
"Social workers, all other",71.4,75.5,4.1,5.8,7.1,64210,Bachelor's degree
Sociologists,3.0,3.1,0.1,4.8,0.3,86110,Master's degree
"Sociology teachers, postsecondary",15.9,17.1,1.2,7.6,1.6,75610,Doctoral or professional degree
"Software developers, quality assurance analysts, testers",1847.9,2257.4,409.5,22.2,189.2,110140,Bachelor's degree
Soil and plant scientists,18.8,20.7,1.9,10.0,2.3,66120,Bachelor's degree
Solar photovoltaic installers,11.8,17.9,6.1,52.1,2.3,46470,High school diploma or equivalent
Sound engineering technicians,13.1,15.4,2.3,17.4,1.6,53520,Postsecondary nondegree award
"Special education teachers, all other",34.3,37.9,3.6,10.5,3.0,62820,Bachelor's degree
"Special education teachers, kindergarten and elementary school",188.6,203.4,14.8,7.8,15.7,60620,Bachelor's degree
"Special education teachers, middle school",78.5,84.4,5.9,7.5,6.5,61820,Bachelor's degree
"Special education teachers, preschool",20.8,23.4,2.5,12.1,1.8,61400,Bachelor's degree
"Special education teachers, secondary school",140.9,151.8,10.8,7.7,11.7,62320,Bachelor's degree
Special effects artists and animators,62.4,72.3,9.9,15.8,7.8,77700,Bachelor's degree
Speech-language pathologists,158.1,203.5,45.4,28.7,15.2,80480,Master's degree
Stationary engineers and boiler operators,30.7,32.5,1.8,5.8,4.0,64680,High school diploma or equivalent
Statistical assistants,10.4,11.3,0.8,7.9,1.3,50360,Bachelor's degree
Statisticians,42.0,56.9,14.9,35.4,5.0,92270,Master's degree
Stockers and order fillers,2223.0,2319.7,96.7,4.4,360.5,29190,High school diploma or equivalent
Stonemasons,13.9,13.7,-0.2,-1.4,1.3,43650,High school diploma or equivalent
Structural iron and steel workers,71.0,75.3,4.2,5.9,7.9,54830,High school diploma or equivalent
Structural metal fabricators and fitters,70.0,62.0,-8.0,-11.4,5.9,41780,High school diploma or equivalent
"Substance abuse, behavioral disorder, and mental health counselors",327.5,402.6,75.1,22.9,41.0,47660,Bachelor's degree
"Substitute teachers, short-term",536.9,604.6,67.8,12.6,71.4,29370,Bachelor's degree
Subway and streetcar operators,11.0,12.1,1.1,10.2,1.1,69440,High school diploma or equivalent
"Surgeons, except ophthalmologists",41.5,40.3,-1.2,-2.8,1.0,208000,Doctoral or professional degree
Surgical technologists,109.7,119.2,9.5,8.7,9.0,49710,Postsecondary nondegree award
Survey researchers,12.7,13.2,0.5,4.3,1.2,59870,Master's degree
Surveying and mapping technicians,54.8,56.9,2.0,3.7,7.0,46200,High school diploma or equivalent
Surveyors,46.0,46.7,0.7,1.6,4.0,65590,Bachelor's degree
"Switchboard operators, including answering service",59.9,46.3,-13.6,-22.7,4.5,31430,High school diploma or equivalent
"Tailors, dressmakers, and custom sewers",42.0,38.9,-3.1,-7.4,4.9,32640,No formal educational credential
"Tank car, truck, and ship loaders",13.0,13.6,0.6,4.7,1.6,45610,No formal educational credential
Tapers,19.8,19.9,0.1,0.5,1.6,59450,No formal educational credential
"Tax examiners and collectors, and revenue agents",56.9,54.8,-2.1,-3.7,4.4,55640,Bachelor's degree
Tax preparers,87.4,88.8,1.4,1.6,9.8,44300,High school diploma or equivalent
"Teaching assistants, except postsecondary",1306.3,1422.3,116.0,8.9,136.4,28900,"Some college, no degree"
"Teaching assistants, postsecondary",165.4,176.0,10.5,6.4,16.7,36250,Bachelor's degree
Technical writers,52.3,58.3,6.1,11.6,5.5,74650,Bachelor's degree
"Telecommunications equipment installers and repairers, except line installers",195.8,193.5,-2.2,-1.1,21.5,61470,Postsecondary nondegree award
Telecommunications line installers and repairers,124.4,123.6,-0.8,-0.7,13.1,58870,High school diploma or equivalent
Telemarketers,119.7,97.8,-21.9,-18.3,13.9,27920,No formal educational credential
Telephone operators,4.8,3.6,-1.2,-25.4,0.4,37710,High school diploma or equivalent
Tellers,432.5,359.4,-73.1,-16.9,33.7,32620,High school diploma or equivalent
Terrazzo workers and finishers,3.0,2.7,-0.3,-8.5,0.2,51430,High school diploma or equivalent
Textile bleaching and dyeing machine operators and tenders,7.5,6.5,-1.0,-13.8,0.7,30260,High school diploma or equivalent
"Textile cutting machine setters, operators, and tenders",12.9,11.5,-1.4,-11.1,1.3,29910,High school diploma or equivalent
"Textile knitting and weaving machine setters, operators, and tenders",19.6,16.7,-2.9,-14.8,1.9,31090,High school diploma or equivalent
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",26.4,23.4,-3.0,-11.5,2.6,30890,High school diploma or equivalent
"Textile, apparel, and furnishings workers, all other",16.7,15.6,-1.1,-6.4,1.8,28650,High school diploma or equivalent
"Therapists, all other",28.1,32.3,4.2,14.8,2.4,57310,Bachelor's degree
Tile and stone setters,54.1,60.3,6.2,11.5,5.4,44220,No formal educational credential
Timing device assemblers and adjusters,1.0,0.8,-0.2,-17.8,0.1,36170,High school diploma or equivalent
Tire builders,20.6,20.5,-0.2,-0.8,2.0,46270,High school diploma or equivalent
Tire repairers and changers,102.7,104.6,1.9,1.8,12.0,30060,High school diploma or equivalent
"Title examiners, abstractors, and searchers",62.2,63.3,1.1,1.7,6.1,48820,High school diploma or equivalent
Tool and die makers,62.3,63.3,0.9,1.5,6.4,54760,Postsecondary nondegree award
"Tool grinders, filers, and sharpeners",6.2,6.1,-0.1,-2.4,0.6,41060,High school diploma or equivalent
Tour and travel guides,44.0,56.8,12.8,29.1,9.2,29460,High school diploma or equivalent
Traffic technicians,7.6,8.2,0.6,7.8,1.1,47800,High school diploma or equivalent
Training and development managers,42.1,46.6,4.5,10.7,4.3,115640,Bachelor's degree
Training and development specialists,328.7,364.2,35.5,10.8,35.2,62700,Bachelor's degree
Transit and railroad police,3.8,4.1,0.3,8.6,0.3,72580,High school diploma or equivalent
Transportation inspectors,29.0,30.3,1.3,4.6,3.3,78400,High school diploma or equivalent
Transportation security screeners,51.8,51.9,0.1,0.2,4.5,44300,High school diploma or equivalent
"Transportation, storage, and distribution managers",137.6,149.0,11.4,8.3,11.8,96390,High school diploma or equivalent
Travel agents,60.5,63.8,3.3,5.4,7.5,42350,High school diploma or equivalent
Tree trimmers and pruners,66.4,70.5,4.1,6.1,9.2,41340,High school diploma or equivalent
"Tutors and teachers and instructors, all other",385.0,445.2,60.2,15.6,53.0,40590,Bachelor's degree
"Umpires, referees, and other sports officials",20.2,26.2,6.0,29.4,3.8,28940,High school diploma or equivalent
"Underground mining machine operators and extraction workers, all other",12.6,13.9,1.3,10.2,1.7,52400,High school diploma or equivalent
Upholsterers,32.1,33.5,1.4,4.5,3.0,36250,High school diploma or equivalent
Urban and regional planners,39.1,41.8,2.7,6.8,3.7,75950,Master's degree
"Ushers, lobby attendants, and ticket takers",81.5,131.9,50.4,61.8,29.4,25110,No formal educational credential
Veterinarians,86.8,101.3,14.5,16.8,4.4,99250,Doctoral or professional degree
Veterinary assistants and laboratory animal caretakers,107.2,122.5,15.3,14.3,19.8,29930,High school diploma or equivalent
Veterinary technologists and technicians,114.4,131.5,17.1,14.9,10.4,36260,Associate's degree
Waiters and waitresses,2023.2,2430.7,407.6,20.1,470.2,23740,No formal educational credential
Watch and clock repairers,2.8,2.1,-0.7,-24.9,0.2,45290,High school diploma or equivalent
Water and wastewater treatment plant and system operators,122.1,119.0,-3.1,-2.5,10.5,49090,High school diploma or equivalent
Web developers and digital interface designers,199.4,224.9,25.5,12.8,17.9,77200,Bachelor's degree
"Weighers, measurers, checkers, and samplers, recordkeeping",59.1,65.4,6.3,10.7,6.5,36650,High school diploma or equivalent
"Welders, cutters, solderers, and brazers",418.2,452.4,34.1,8.2,49.2,44190,High school diploma or equivalent
"Welding, soldering, and brazing machine setters, operators, and tenders",35.1,34.7,-0.3,-1.0,3.6,39410,High school diploma or equivalent
Wellhead pumpers,13.6,14.8,1.3,9.4,1.7,60720,High school diploma or equivalent
Wind turbine service technicians,6.9,11.7,4.7,68.2,1.4,56230,Postsecondary nondegree award
"Woodworkers, all other",9.5,11.6,2.1,22.2,1.2,33630,High school diploma or equivalent
"Woodworking machine setters, operators, and tenders, except sawing",74.6,81.9,7.3,9.8,8.7,32160,High school diploma or equivalent
Word processors and typists,45.2,28.9,-16.3,-36.0,2.6,41050,High school diploma or equivalent
Writers and authors,143.2,155.4,12.2,8.5,15.4,67120,Bachelor's degree
Zoologists and wildlife biologists,18.5,19.5,1.0,5.2,1.7,66350,Bachelor's degree
