Occupation,Emp_2020,Emp_2030,Emp_Change,Emp_Change_P,Job_Openings_Yearly,Wage,Educ_Level
General internal medicine physicians,55.5,55.1,-0.4,-0.7,1.5,208000,Doctoral or professional degree
Genetic counselors,2.4,3.1,0.6,26.2,0.3,85700,Master's degree
Geographers,1.6,1.7,0.0,0.0,0.1,85430,Bachelor's degree
"Geography teachers, postsecondary",4.4,4.7,0.3,6.3,0.4,82330,Doctoral or professional degree
Geological and hydrologic technicians,16.8,18.3,1.5,8.7,2.3,50630,Associate's degree
"Geoscientists, except hydrologists and geographers",29.0,31.0,2.0,7.0,3.1,93580,Bachelor's degree
Glaziers,53.6,56.1,2.5,4.7,6.0,46080,High school diploma or equivalent
"Graders and sorters, agricultural products",32.5,32.1,-0.5,-1.4,4.7,28220,No formal educational credential
Graphic designers,254.1,261.4,7.3,2.9,23.9,53380,Bachelor's degree
"Grinding and polishing workers, hand",23.7,20.5,-3.2,-13.6,2.1,31750,No formal educational credential
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",69.4,67.1,-2.3,-3.3,7.5,36880,High school diploma or equivalent
"Grounds maintenance workers, all other",15.3,16.6,1.3,8.6,2.2,34210,No formal educational credential
"Hairdressers, hairstylists, and cosmetologists",569.6,680.1,110.5,19.4,78.9,27380,Postsecondary nondegree award
Hazardous materials removal workers,44.5,47.4,2.9,6.6,5.8,45270,High school diploma or equivalent
"Health and safety engineers, except mining safety engineers and inspectors",24.1,25.6,1.5,6.1,1.7,94240,Bachelor's degree
Health education specialists,61.1,68.7,7.6,12.4,7.4,56500,Bachelor's degree
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",81.4,89.9,8.6,10.5,6.9,51840,Postsecondary nondegree award
"Health specialties teachers, postsecondary",242.7,301.6,58.9,24.3,30.8,99090,Doctoral or professional degree
Healthcare social workers,184.9,209.3,24.4,13.2,20.4,57630,Master's degree
"Healthcare support workers, all other",100.5,111.0,10.6,10.5,13.9,39530,High school diploma or equivalent
Hearing aid specialists,8.0,8.9,0.9,11.3,0.7,52630,High school diploma or equivalent
"Heat treating equipment setters, operators, and tenders, metal and plastic",16.9,16.2,-0.7,-4.0,1.6,39530,High school diploma or equivalent
"Heating, air conditioning, and refrigeration mechanics and installers",380.4,399.4,19.0,5.0,38.5,50590,Postsecondary nondegree award
Heavy and tractor-trailer truck drivers,1951.6,2073.6,122.1,6.3,231.1,47130,Postsecondary nondegree award
"Helpers, construction trades, all other",27.8,29.5,1.7,5.9,3.5,33360,No formal educational credential
