National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by award level and  highest degree offered: 2019-20"

Year,Award level,Total,Non-degree granting,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Master's degree,Bachelor's degree,Associate's degree
2015,Total,"4,863,935","281,316","1,502,085","508,549","257,435","66,317","589,807","354,072","1,304,354"
2015,Award of less than 1 academic year,"485,457","105,228","8,263","3,459","1,809",84,"5,059","46,200","315,355"
2015,Award of at least 1 but less than 2 academic years,"440,377","151,343","4,126","1,275","1,069",123,"7,751","26,754","247,936"
2015,Associate's degree,"1,014,393",52,"14,378","27,052","12,452","2,092","55,744","169,319","733,304"
2015,Award of at least 2 but less than 4 academic years,"35,312","24,564",836,186,509,8,330,"1,183","7,696"
2015,Bachelor's degree,"1,894,969",N/A,"891,116","302,456","147,336","46,958","396,621","110,475",7
2015,Postbaccalaureate certificate,"38,405",121,"20,220","7,657","4,070",670,"5,500",111,56
2015,Master's degree,"758,804",N/A,"412,287","151,439","63,370","15,277","116,413",18,N/A
2015,Post-master's certificate,"17,670",8,"10,386","3,377","1,333",175,"2,379",12,N/A
2015,Doctor's degree - research/scholarship (new degree classification),"68,676",N/A,"57,077","11,387",0,203,9,0,N/A
2015,Doctor's degree - professional practice (new degree classification),"108,064",N/A,"82,725",72,"25,186",81,0,N/A,N/A
2015,Doctor's degree - other (new degree classification),"1,808",N/A,671,189,301,646,1,N/A,N/A
2014,Total,"4,832,282","304,162","1,470,846","498,276","240,296","77,483","605,681","353,044","1,282,494"
2014,Award of less than 1 academic year,"480,017","118,013","7,665","2,544","1,106",305,"4,826","41,972","303,586"
2014,Award of at least 1 but less than 2 academic years,"452,050","159,058","3,973",988,"1,008",164,"7,796","27,714","251,349"
2014,Associate's degree,"1,005,213",58,"14,312","33,938","11,461","2,468","53,406","169,937","719,633"
2014,Award of at least 2 but less than 4 academic years,"37,211","26,844",576,162,462,13,338,"1,035","7,781"
2014,Bachelor's degree,"1,870,150",N/A,"869,628","293,931","134,690","50,800","408,935","112,164",2
2014,Postbaccalaureate certificate,"36,193",166,"18,257","7,228","4,043",855,"5,320",181,143
